Tournament,Date,Surface,Round,player_0,player_0_rank,player_0_odd,player_1,player_1_rank,player_1_odd,outcome,player_0_match_win_percent,player_1_match_win_percent,player_0_games_win_percent,player_1_games_win_percent,player_0_5_set_match_win_percent,player_1_5_set_match_win_percent,player_0_close_sets_percent,player_1_close_sets_percent,player_0_match_win_percent_clay,player_1_match_win_percent_clay,player_0_games_win_percent_clay,player_1_games_win_percent_clay,player_0_5_set_match_win_percent_clay,player_1_5_set_match_win_percent_clay,player_0_close_sets_percent_clay,player_1_close_sets_percent_clay,player_0_match_win_percent_52,player_1_match_win_percent_52,player_0_games_win_percent_52,player_1_games_win_percent_52,player_0_5_set_match_win_percent_52,player_1_5_set_match_win_percent_52,player_0_close_sets_percent_52,player_1_close_sets_percent_52,player_0_match_win_percent_clay_60,player_1_match_win_percent_clay_60,player_0_games_win_percent_clay_60,player_1_games_win_percent_clay_60,player_0_5_set_match_win_percent_clay_60,player_1_5_set_match_win_percent_clay_60,player_0_close_sets_percent_clay_60,player_1_close_sets_percent_clay_60,player_0_match_win_percent_hh,player_1_match_win_percent_hh,player_0_games_win_percent_hh,player_1_games_win_percent_hh,player_0_match_win_percent_clay_hh,player_1_match_win_percent_clay_hh,player_0_games_win_percent_clay_hh,player_1_games_win_percent_clay_hh,diff_match_win_percent,diff_games_win_percent,diff_5_set_match_win_percent,diff_close_sets_percent,diff_match_win_percent_clay,diff_games_win_percent_clay,diff_5_set_match_win_percent_clay,diff_close_sets_percent_clay,diff_match_win_percent_52,diff_games_win_percent_52,diff_5_set_match_win_percent_52,diff_close_sets_percent_52,diff_match_win_percent_clay_60,diff_games_win_percent_clay_60,diff_5_set_match_win_percent_clay_60,diff_close_sets_percent_clay_60,diff_match_win_percent_hh,diff_games_win_percent_hh,diff_match_win_percent_clay_hh,diff_games_win_percent_clay_hh
French Open,2019/05/28,Clay,1st Round,Monfils G.,17.0,1.12,Daniel T.,103.0,6.0,0,0.6484848484848484,0.35051546391752575,0.5322299651567944,0.45314452311536857,0.6950354609929078,0.14285714285714285,0.5596816976127321,0.3981191222570533,0.6157894736842106,0.43636363636363634,0.5283209030437411,0.47250996015936253,0.7272727272727273,0.25,0.5425531914893617,0.4277456647398844,0.6956521739130435,0.38461538461538464,0.5521081941129674,0.4527687296416938,0.6666666666666666,0.0,0.6538461538461539,0.3902439024390244,0.4375,0.5555555555555556,0.4892086330935252,0.5,0.6666666666666666,0.0,0.48148148148148145,0.48148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2979693845673227,0.07908544204142587,0.5521783181357649,0.1615625753556788,0.1794258373205742,0.0558109428843786,0.4772727272727273,0.11480752674947725,0.3110367892976588,0.09933946447127362,0.6666666666666666,0.26360225140712945,-0.11805555555555558,-0.010791366906474809,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Tsitsipas S.,6.0,1.1,Dellien H.,86.0,7.0,0,0.6033057851239669,0.5,0.52128,0.5068493150684932,0.6111111111111112,0.0,0.5488721804511278,0.5,0.6571428571428571,0.5,0.542654028436019,0.5068493150684932,0.5,0.0,0.5663716814159292,0.5,0.6875,0.5,0.5334939759036145,0.5068493150684932,0.7142857142857143,0.0,0.5522388059701493,0.5,0.696969696969697,0.5,0.5514612452350699,0.5068493150684932,0.6666666666666666,0.0,0.580952380952381,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10330578512396693,0.014430684931506788,0.6111111111111112,0.048872180451127845,0.15714285714285714,0.035804713367525776,0.5,0.0663716814159292,0.1875,0.026644660835121292,0.7142857142857143,0.052238805970149294,0.19696969696969702,0.04461193016657672,0.6666666666666666,0.080952380952381,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Pella G.,23.0,1.28,Moutet C.,110.0,3.75,1,0.48295454545454547,0.2777777777777778,0.49625026783801157,0.43004115226337447,0.39285714285714285,0.4,0.511986301369863,0.359375,0.5643564356435643,0.35714285714285715,0.5138996138996139,0.446524064171123,0.5,0.6666666666666666,0.5579937304075235,0.3958333333333333,0.6071428571428571,0.2,0.5145027624309392,0.4,0.5555555555555556,0.3333333333333333,0.5268817204301075,0.3055555555555556,0.6739130434782609,0.3,0.5246195165622203,0.4329501915708812,0.6666666666666666,0.6666666666666666,0.5625,0.3333333333333333,1.0,0.0,0.64,0.36,1.0,0.0,0.64,0.36,0.20517676767676768,0.0662091155746371,-0.007142857142857173,0.152611301369863,0.20721357850070715,0.06737554972849091,-0.16666666666666663,0.16216039707419022,0.4071428571428571,0.11450276243093915,0.22222222222222227,0.22132616487455192,0.3739130434782609,0.09166932499133906,0.0,0.22916666666666669,1.0,0.28,1.0,0.28
French Open,2019/05/29,Clay,2nd Round,Nadal R.,2.0,1.002,Maden Y.,114.0,41.0,0,0.8467661691542289,0.38095238095238093,0.6008179959100205,0.48114901256732495,0.8884892086330936,0.3333333333333333,0.6191542985158219,0.4492753623188406,0.9294403892944039,0.5,0.6456439813788517,0.5194174757281553,0.9789473684210527,0.0,0.6416022487702038,0.46153846153846156,0.8846153846153846,0.36363636363636365,0.6202247191011236,0.4768211920529801,0.9166666666666666,0.3333333333333333,0.6225490196078431,0.4358974358974359,0.9069767441860465,0.5,0.663981588032221,0.5194174757281553,1.0,0.0,0.6137931034482759,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46581378820184793,0.11966898334269555,0.5551558752997603,0.16987893619698136,0.42944038929440387,0.12622650565069637,0.9789473684210527,0.1800637872317422,0.5209790209790209,0.14340352704814352,0.5833333333333333,0.18665158371040724,0.40697674418604646,0.14456411230406563,1.0,0.1522546419098143,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Goffin D.,29.0,1.12,Kecmanovic M.,85.0,6.0,0,0.5875706214689266,0.4166666666666667,0.52223093291522,0.49640287769784175,0.6417910447761194,0.5,0.5250836120401338,0.45,0.6,0.3333333333333333,0.530760412686282,0.4642857142857143,0.7142857142857143,0.0,0.5350877192982456,0.45454545454545453,0.5365853658536586,0.5,0.5291828793774319,0.5147679324894515,0.6666666666666666,0.5,0.48299319727891155,0.5,0.6153846153846154,0.3333333333333333,0.5438066465256798,0.4642857142857143,0.8,0.0,0.5227272727272727,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709039548022599,0.0258280552173783,0.14179104477611937,0.07508361204013375,0.26666666666666666,0.06647469840056774,0.7142857142857143,0.08054226475279108,0.03658536585365857,0.014414946887980395,0.16666666666666663,-0.017006802721088454,0.2820512820512821,0.07952093223996548,0.8,0.06818181818181818,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Nishikori K.,7.0,1.33,Tsonga J.W.,82.0,3.4,0,0.6903846153846154,0.6879194630872483,0.5384381184350738,0.5418120638085743,0.7272727272727273,0.7612903225806451,0.5421348314606742,0.5838894184938036,0.7131147540983607,0.652542372881356,0.554481839386871,0.5376481896827939,0.7037037037037037,0.7777777777777778,0.5571428571428572,0.5492957746478874,0.6857142857142857,0.6206896551724138,0.5382483370288248,0.5263870094722598,0.8125,0.6666666666666666,0.5454545454545454,0.5376344086021505,0.6923076923076923,0.6666666666666666,0.5444785276073619,0.5412844036697247,0.8,0.0,0.5568181818181818,0.4827586206896552,0.625,0.375,0.515748031496063,0.484251968503937,0.625,0.375,0.515748031496063,0.484251968503937,0.0024651522973671014,-0.003373945373500442,-0.034017595307917814,-0.0417545870331294,0.0605723812170047,0.01683364970407708,-0.07407407407407407,0.007847082494969793,0.06502463054187191,0.011861327556564993,0.14583333333333337,0.00782013685239491,0.02564102564102566,0.0031941239376371833,0.8,0.07405956112852657,0.25,0.031496062992125984,0.25,0.031496062992125984
French Open,2019/05/29,Clay,2nd Round,Gasquet R.,39.0,1.8,Londero J.I.,78.0,2.0,1,0.652530779753762,0.5,0.5428729587600332,0.5091649694501018,0.68,0.0,0.5487364620938628,0.4852941176470588,0.6684491978609626,0.5,0.552416685058486,0.5091649694501018,0.7,0.0,0.5460218408736349,0.4852941176470588,0.6285714285714286,0.55,0.5176056338028169,0.5190156599552572,0.5714285714285714,0.0,0.5042016806722689,0.5,0.64,0.55,0.546572934973638,0.5190156599552572,0.75,0.0,0.5180722891566265,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15253077975376195,0.03370798930993135,0.68,0.06344234444680402,0.16844919786096257,0.043251715608384145,0.7,0.0607277232265761,0.07857142857142851,-0.0014100261524403468,0.5714285714285714,0.004201680672268893,0.08999999999999997,0.02755727501838079,0.75,0.01807228915662651,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Djere L.,32.0,1.22,Popyrin A.,109.0,4.33,0,0.5,0.25,0.4836318715256331,0.4431554524361949,0.14285714285714285,0.5,0.4854368932038835,0.39285714285714285,0.6363636363636364,0.3333333333333333,0.51,0.47058823529411764,0.3333333333333333,0.0,0.5362318840579711,0.45454545454545453,0.55,0.2857142857142857,0.49851632047477745,0.4543010752688172,0.25,0.6666666666666666,0.515625,0.4166666666666667,0.6571428571428571,0.3333333333333333,0.5145413870246085,0.47058823529411764,0.5,0.0,0.5688073394495413,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.040476419089438165,-0.35714285714285715,0.09257975034674065,0.30303030303030304,0.03941176470588237,0.3333333333333333,0.08168642951251653,0.26428571428571435,0.04421524520596026,-0.41666666666666663,0.09895833333333331,0.3238095238095238,0.04395315173049086,0.5,0.11426188490408679,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Krajinovic F.,60.0,1.4,Carballes Baena R.,76.0,3.0,0,0.4725274725274725,0.46835443037974683,0.4895264116575592,0.49575371549893843,0.3333333333333333,0.2857142857142857,0.4713804713804714,0.47410358565737054,0.5,0.5,0.4678714859437751,0.5022890778286462,0.3333333333333333,0.3333333333333333,0.4027777777777778,0.5,0.5428571428571428,0.4666666666666667,0.5115740740740741,0.5082191780821917,0.6,0.4,0.5217391304347826,0.48,0.8333333333333334,0.5,0.5714285714285714,0.509325681492109,0.0,0.5,0.65,0.5340909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004173042147725681,-0.006227303841379206,0.047619047619047616,-0.002723114276899141,0.0,-0.03441759188487109,0.0,-0.09722222222222221,0.07619047619047614,0.003354895991882323,0.19999999999999996,0.04173913043478261,0.33333333333333337,0.0621028899364624,-0.5,0.11590909090909096,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Kohlschreiber P.,54.0,1.1,Mahut N.,252.0,7.0,1,0.5714285714285714,0.46368715083798884,0.5197937458416501,0.4939310051107325,0.5546218487394958,0.4264705882352941,0.5302521008403361,0.4818181818181818,0.5967741935483871,0.3333333333333333,0.5249584026622296,0.45933014354066987,0.5,0.3888888888888889,0.52875,0.38011695906432746,0.5111111111111111,0.3333333333333333,0.5130361648444071,0.46994535519125685,0.7,0.6666666666666666,0.535483870967742,0.4166666666666667,0.5806451612903226,0.5,0.5271002710027101,0.48148148148148145,0.5,0.5,0.5360824742268041,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10774142059058256,0.025862740730917544,0.12815126050420172,0.048433919022154326,0.2634408602150538,0.06562825912155973,0.1111111111111111,0.1486330409356726,0.17777777777777776,0.04309080965315021,0.033333333333333326,0.11881720430107529,0.08064516129032262,0.04561878952122861,0.0,0.03608247422680411,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Berrettini M.,31.0,1.53,Ruud C.,63.0,2.5,1,0.5373134328358209,0.5116279069767442,0.5034285714285714,0.5111326234269119,0.4444444444444444,0.5,0.5388127853881278,0.46099290780141844,0.6857142857142857,0.6,0.5286549707602339,0.5372208436724566,0.75,0.6666666666666666,0.5575221238938053,0.5045045045045045,0.5818181818181818,0.5909090909090909,0.5136078157711096,0.5317460317460317,0.42857142857142855,0.3333333333333333,0.5698324022346368,0.4722222222222222,0.7058823529411765,0.6521739130434783,0.533969010727056,0.5464684014869888,0.75,0.6666666666666666,0.5727272727272728,0.5066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025685525859076686,-0.007704051998340455,-0.05555555555555558,0.07781987758670939,0.08571428571428574,-0.00856587291222266,0.08333333333333337,0.05301761938930083,-0.00909090909090915,-0.018138215974922156,0.09523809523809523,0.09761018001241462,0.053708439897698246,-0.012499390759932782,0.08333333333333337,0.06606060606060604,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Cilic M.,13.0,1.53,Dimitrov G.,46.0,2.5,1,0.6432748538011696,0.6,0.5355730124240905,0.5235943775100401,0.7189542483660131,0.6190476190476191,0.5640373197625106,0.5499021526418787,0.6046511627906976,0.5631067961165048,0.535171102661597,0.5162538699690402,0.6666666666666666,0.4666666666666667,0.5289115646258503,0.5132743362831859,0.625,0.5,0.5365853658536586,0.5091093117408907,0.7333333333333333,0.5555555555555556,0.6149425287356322,0.5583333333333333,0.65,0.5238095238095238,0.5379310344827586,0.5107084019769358,0.8333333333333334,0.75,0.6111111111111112,0.5633802816901409,0.75,0.25,0.5384615384615384,0.46153846153846156,0.75,0.25,0.5384615384615384,0.46153846153846156,0.04327485380116958,0.011978634914050379,0.099906629318394,0.014135167120631897,0.04154436667419281,0.01891723269255674,0.19999999999999996,0.015637228342664455,0.125,0.027476054112767878,0.1777777777777777,0.056609195402298806,0.1261904761904762,0.027222632505822797,0.08333333333333337,0.04773082942097029,0.5,0.07692307692307687,0.5,0.07692307692307687
French Open,2019/05/29,Clay,2nd Round,Wawrinka S.,28.0,1.53,Garin C.,37.0,2.5,0,0.6391608391608392,0.625,0.531865525420233,0.5073170731707317,0.7182320441988951,0.25,0.5648185081771041,0.5384615384615384,0.6748971193415638,0.6896551724137931,0.5432411067193675,0.5236111111111111,0.7358490566037735,0.0,0.5700598802395209,0.5842696629213483,0.5714285714285714,0.7307692307692307,0.5113122171945701,0.5284431137724551,0.5714285714285714,0.3333333333333333,0.577639751552795,0.5714285714285714,0.46153846153846156,0.7916666666666666,0.5063694267515924,0.5451559934318555,0.5,0.0,0.4883720930232558,0.6216216216216216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014160839160839211,0.024548452249501307,0.4682320441988951,0.02635696971556567,-0.014758053072229327,0.0196299956082564,0.7358490566037735,-0.014209782681827376,-0.15934065934065933,-0.017130896577885024,0.23809523809523808,0.006211180124223614,-0.33012820512820507,-0.038786566680263146,0.5,-0.1332495285983658,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Federer R.,3.0,1.02,Otte O.,144.0,19.0,0,0.8565656565656565,0.5,0.5914131690412013,0.5333333333333333,0.8780487804878049,0.5,0.6381687810259239,0.5625,0.7989690721649485,0.5,0.5794630609445425,0.5294117647058824,0.8260869565217391,0.5,0.6111111111111112,0.5,0.828125,0.6666666666666666,0.5759951749095296,0.5952380952380952,0.7857142857142857,0.0,0.65,0.6363636363636364,0.8333333333333334,0.5,0.5769230769230769,0.5294117647058824,0.0,0.5,0.65,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35656565656565653,0.05807983570786801,0.3780487804878049,0.07566878102592389,0.2989690721649485,0.050051296238660115,0.32608695652173914,0.11111111111111116,0.16145833333333337,-0.01924292032856567,0.7857142857142857,0.013636363636363669,0.33333333333333337,0.04751131221719451,-0.5,0.15000000000000002,0.0,0.0,0.0,0.0
French Open,2019/05/29,Clay,2nd Round,Paire B.,38.0,1.44,Herbert P.H.,43.0,2.75,0,0.4860050890585242,0.44696969696969696,0.49373087175436864,0.48605357636012153,0.5,0.4482758620689655,0.4897025171624714,0.4933920704845815,0.5277777777777778,0.48148148148148145,0.5031532766657527,0.4980494148244473,0.5,0.5,0.5213675213675214,0.5154639175257731,0.5,0.5576923076923077,0.501086169442433,0.5065982404692082,0.5,0.6363636363636364,0.4673913043478261,0.5,0.6206896551724138,0.6111111111111112,0.5292517006802722,0.5202558635394456,0.6666666666666666,0.75,0.5698924731182796,0.5,0.6666666666666666,0.3333333333333333,0.546875,0.453125,0.6666666666666666,0.3333333333333333,0.546875,0.453125,0.039035392088827225,0.007677295394247108,0.051724137931034475,-0.0036895533221101284,0.046296296296296335,0.0051038618413054015,0.0,0.005903603841748262,-0.05769230769230771,-0.0055120710267752004,-0.13636363636363635,-0.03260869565217389,0.009578544061302652,0.008995837140826524,-0.08333333333333337,0.06989247311827962,0.3333333333333333,0.09375,0.3333333333333333,0.09375
